,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
86,13.0,Left_Hand,,India,20-May-93,,,390,R Tewatia,16.0,123.08,0
87,40.0,Right_Hand,,Australia,30-Jan-87,,,385,BCJ Cutting,73.0,182.5,0
88,385.0,Right_Hand,,India,06-Dec-94,,,393,SS Iyer,469.0,121.82,0
89,125.0,Right_Hand,,India,11-Oct-93,,,400,HH Pandya,156.0,124.8,0
90,32.0,Left_Hand,,India,16-Jan-94,,,398,J Suchith,48.0,150.0,0
91,216.0,Right_Hand,,India,19-Apr-95,,,394,DJ Hooda,295.0,136.57,0
92,2366.0,Right_Hand,,India,07-Jul-81,,,20,MS Dhoni,3270.0,138.21,1
93,2653.0,Right_Hand,,India,11-Nov-85,,,46,RV Uthappa,3390.0,127.78,1
94,2952.0,Right_Hand,,India,30-Apr-87,,,57,RG Sharma,3874.0,131.23,1
95,2555.0,Left_Hand,,India,05-Dec-85,,,42,S Dhawan,3082.0,120.63,1
96,2191.0,Right_Hand,,South Africa,17-Feb-84,,,110,AB de Villiers,3270.0,149.25,1
97,2948.0,Left_Hand,,India,14-Oct-81,,,40,G Gambhir,3634.0,123.27,1
98,2967.0,Left_Hand,,India,27-Nov-86,,,21,SK Raina,4106.0,138.39,1
99,3164.0,Right_Hand,,India,05-Nov-88,,,8,V Kohli,4105.0,129.74,1
100,2384.0,Left_Hand,,Australia,27-Oct-86,,,187,DA Warner,3373.0,141.48,1
101,2277.0,Left_Hand,,West Indies,21-Sep-79,,,162,CH Gayle,3447.0,151.38,1
102,1028.0,Left_Hand,,South Africa,10-Jun-89,,,320,DA Miller,1480.0,143.97,2
103,916.0,Right_Hand,,India,02-Jun-89,,,306,SPD Smith,1241.0,135.48,2
104,333.0,Right_Hand,,West Indies,29-Apr-88,,,334,AD Russell,574.0,172.37,2
105,1010.0,Right_Hand,,South Africa,13-Jul-84,,,303,F du Plessis,1287.0,127.43,2
106,532.0,Right_Hand,,India,03-Jun-84,,,255,STR Binny,688.0,129.32,2
107,1054.0,Right_Hand,,Australia,17-Nov-86,,,254,AJ Finch,1304.0,123.72,2
108,476.0,Right_Hand,,India,26-Mar-85,,,237,KM Jadhav,626.0,131.51,2
109,753.0,Right_Hand,,India,18-Dec-91,,,236,Mandeep Singh,924.0,122.71,2
110,569.0,Right_Hand,,Australia,14-Oct-88,,,305,GJ Maxwell,919.0,161.51,2
111,649.0,Left_Hand,,England,10-Sep-86,,,216,EJG Morgan,789.0,121.57,2
112,1004.0,Right_Hand,,India,24-Oct-84,,,62,WP Saha,1323.0,131.77,2
113,532.0,Left_Hand,,Sri Lanka,30-Jun-69,,,44,ST Jayasuriya,768.0,144.36,2
114,549.0,Right_Hand,,India,03-Jul-80,,,50,Harbhajan Singh,783.0,142.62,2
115,829.0,Right_Hand,,New Zealand,08-Mar-84,,,52,LRPL Taylor,1017.0,122.68,2
116,750.0,Right_Hand,,Australia,09-Jun-75,,,56,A Symonds,974.0,129.87,2
117,1298.0,Left_Hand,,India,06-Dec-88,,,35,RA Jadeja,1574.0,121.26,2
118,806.0,Left_Hand,,Australia,29-Oct-71,,,18,ML Hayden,1107.0,137.34,2
119,462.0,Left_Hand,,New Zealand,06-Aug-84,,,157,JD Ryder,604.0,130.74,2
120,689.0,Left_Hand,,South Africa,10-Jun-81,,,109,JA Morkel,975.0,141.51,2
121,1125.0,Right_Hand,,Australia,29-Dec-74,,,104,BJ Hodge,1400.0,124.44,2
122,1009.0,Right_Hand,,West Indies,07-Oct-83,,,71,DJ Bravo,1262.0,125.07,2
123,1084.0,Right_Hand,,Australia,15-Jul-77,,,4,DJ Hussey,1322.0,121.96,2
124,769.0,Right_Hand,,Australia,18-Aug-83,,,10,CL White,971.0,126.27,2
125,544.0,Right_Hand,,Australia,07-Sep-82,,,197,GJ Bailey,663.0,121.88,2
126,746.0,Right_Hand,,South Africa,27-Jun-80,,,158,KP Pietersen,1001.0,134.18,2
127,553.0,Right_Hand,,Australia,01-Feb-87,,,163,MC Henriques,692.0,125.14,2
128,551.0,Right_Hand,,Sri Lanka,02-Jun-87,,,191,AD Mathews,692.0,125.59,2
129,641.0,Right_Hand,,India,16-Feb-91,,,260,MA Agarwal,788.0,122.93,2
130,740.0,Right_Hand,,West Indies,25-Jan-85,,,383,LMP Simmons,942.0,127.3,2
131,686.0,Right_Hand,,India,06-Dec-91,,,339,KK Nair,877.0,127.84,2
132,562.0,Right_Hand,,India,18-Jul-93,,,345,M Vohra,728.0,129.54,2
133,550.0,Left_Hand,,South Africa,17-Dec-92,,,355,Q de Kock,726.0,132.0,2
134,577.0,Right_Hand,,India,18-Apr-92,,,354,KL Rahul,725.0,125.65,2
135,1823.0,Right_Hand,,Australia,17-Jun-81,,,32,SR Watson,2553.0,140.04,3
136,1622.0,Left_Hand,,Australia,27-May-75,,,19,MEK Hussey,1977.0,121.89,3
137,1499.0,Left_Hand,,Australia,14-Nov-71,,,53,AC Gilchrist,2065.0,137.76,3
138,1768.0,Right_Hand,,India,20-Oct-78,,,41,V Sehwag,2728.0,154.3,3
139,2054.0,Right_Hand,,India,01-Jun-85,,,88,KD Karthik,2542.0,123.76,3
140,1685.0,Left_Hand,,Australia,09-Jul-83,,,100,SE Marsh,2225.0,132.05,3
141,1612.0,Right_Hand,,West Indies,12-Apr-83,,,147,DR Smith,2146.0,133.13,3
142,1601.0,Left_Hand,,South Africa,14-Apr-84,,,154,JP Duminy,1993.0,124.48,3
143,2044.0,Right_Hand,,India,01-Apr-84,,,185,M Vijay,2511.0,122.85,3
144,1846.0,Right_Hand,,India,23-Sep-85,,,208,AT Rayudu,2325.0,125.95,3
145,1331.0,Right_Hand,,West Indies,12-May-87,,,221,KA Pollard,1959.0,147.18,3
146,1477.0,Right_Hand,,Sri Lanka,27-May-77,,,64,DPMD Jayawardene,1808.0,122.41,3
147,1885.0,Right_Hand,,New Zealand,27-Sep-81,,,2,BB McCullum,2435.0,129.18,3
148,1398.0,Left_Hand,,Sri Lanka,27-Oct-77,,,26,KC Sangakkara,1687.0,120.67,3
149,1798.0,Left_Hand,,India,12-Dec-81,,,27,Yuvraj Singh,2339.0,130.09,3
150,1898.0,Right_Hand,,India,17-Nov-82,,,31,YK Pathan,2779.0,146.42,3
151,,,Right-arm medium,India,06-May-81,8.43,54.333333333333336,63,LR Shukla,458.0,,0
152,,,Right-arm medium,India,08-Jul-72,7.86,46.666666666666664,1,SC Ganguly,367.0,,0
153,,,Right-arm medium,India,20-Sep-81,7.84,12.5,68,WA Mota,98.0,,0
154,,,Right-arm offbreak,India,24-Dec-86,8.42,11.166666666666666,24,K Goel,94.0,,0
155,,,Right-arm fast-medium,Australia,09-Feb-70,6.67,54.833333333333336,118,GD McGrath,366.0,,0
156,,,Right-arm fast-medium,South Africa,16-Jul-73,6.58,46.666666666666664,49,SM Pollock,307.0,,0
157,,,Right-arm medium,India,08-Oct-83,8.11,39.833333333333336,48,AM Nayar,323.0,,0
158,,,Right-arm fast-medium,India,07-Sep-84,7.24,73.5,90,MF Maharoof,532.0,,0
159,,,Right-arm medium-fast,India,07-Oct-77,7.65,32.166666666666664,12,B Akhil,246.0,,0
160,,,Slow left-arm orthodox,Sri Lanka,30-Jun-69,7.89,50.166666666666664,44,ST Jayasuriya,396.0,,0
161,,,Right-arm fast-medium,Sri Lanka,19-Jul-79,7.37,41.5,149,CRD Fernando,306.0,,0
162,,,Left-arm medium-fast,Pakistan,12-Dec-84,6.23,44.166666666666664,102,Sohail Tanvir,275.0,,0
163,,,Right-arm medium,New Zealand,10-Jul-75,7.51,37.0,58,SB Styris,278.0,,0
164,,,Right-arm medium-fast,India,21-Dec-87,8.42,59.833333333333336,91,VY Mahesh,504.0,,0
165,,,Left-arm fast-medium,Sri Lanka,27-Jan-74,7.58,48.0,60,WPUJC Vaas,364.0,,0
166,,,Right-arm offbreak,Pakistan,17-Oct-80,6.76,10.5,5,Mohammad Hafeez,71.0,,0
167,,,Right-arm medium,India,05-Nov-88,8.43,44.0,8,V Kohli,371.0,,0
168,,,Right-arm fast-medium,Pakistan,14-Apr-84,7.76,25.5,105,Umar Gul,198.0,,0
169,,,Right-arm fast,South Africa,06-Jul-77,7.24,35.5,122,M Ntini,257.0,,0
170,,,Right-arm medium,India,20-Oct-86,7.75,26.333333333333332,143,DP Vijaykumar,204.0,,0
171,,,Right-arm medium,Australia,01-Oct-78,5.45,7.333333333333333,45,DJ Thornely,40.0,,0
172,,,Right-arm medium,India,26-Apr-89,8.13,5.166666666666667,142,PM Sarvesh Kumar,42.0,,0
173,,,Right-arm fast,Pakistan,13-Aug-75,7.04,7.666666666666667,144,Shoaib Akhtar,54.0,,0
174,,,Right-arm fast-medium,England,30-Oct-77,6.95,51.666666666666664,137,AD Mascarenhas,359.0,,0
175,,,Right-arm offbreak,India,20-May-78,7.29,73.83333333333333,153,RR Powar,538.0,,0
176,,,Legbreak googly,Pakistan,01-Mar-80,7.69,30.833333333333332,70,Shahid Afridi,237.0,,0
177,,,Right-arm medium,England,26-May-76,6.73,15.0,241,PD Collingwood,101.0,,0
178,,,Left-arm medium-fast,India,09-Oct-88,8.17,18.0,273,SB Wagh,147.0,,0
179,,,Slow left-arm orthodox,India,06-Oct-78,8.32,9.5,298,ND Doshi,79.0,,0
180,,,Right-arm offbreak,Sri Lanka,30-Jan-85,7.43,30.0,278,S Randiv,223.0,,0
181,,,Slow left-arm orthodox,India,29-Oct-90,7.65,18.833333333333332,266,AL Menaria,144.0,,0
182,,,Right-arm fast-medium,England,09-Feb-77,7.45,54.5,274,AC Thomas,406.0,,0
183,,,Legbreak,India,29-Mar-79,6.96,8.333333333333334,193,C Nanda,58.0,,0
184,,,Right-arm medium,India,15-Dec-84,8.16,4.166666666666667,441,SS Sarkar,34.0,,0
185,,,Right-arm medium,India,06-Jun-88,5.0,1.0,85,AM Rahane,5.0,,0
186,,,Right-arm fast-medium,Australia,05-Jun-81,8.3,31.333333333333332,198,AB McDonald,260.0,,0
187,,,Right-arm fast-medium,England,17-Dec-74,7.24,27.5,242,CK Langeveldt,199.0,,0
188,,,Right-arm fast-medium,South Africa,02-Oct-77,7.4,7.833333333333333,217,JM Kemp,58.0,,0
189,,,Slow left-arm orthodox,India,20-Feb-76,8.0,1.0,219,RS Gavaskar,8.0,,0
190,,,Slow left-arm orthodox,India,01-Jan-90,7.18,44.833333333333336,286,AG Murtaza,322.0,,0
191,,,Right-arm fast,New Zealand,07-Jun-75,7.07,31.833333333333332,220,SE Bond,225.0,,0
192,,,Slow left-arm orthodox,India,28-Sep-83,7.88,56.0,228,Bipul Sharma,441.0,,0
193,,,Right-arm medium,India,17-Sep-87,8.29,36.666666666666664,218,S Tyagi,304.0,,0
194,,,Right-arm medium,England,06-Jan-80,7.0,4.0,180,GR Napier,28.0,,0
195,,,Right-arm fast-medium,Australia,01-Mar-74,6.63,11.166666666666666,184,SM Harwood,74.0,,0
196,,,Right-arm offbreak,India,15-Dec-83,7.82,25.333333333333332,178,TL Suman,198.0,,0
197,,,Right-arm fast-medium,South Africa,08-Nov-81,7.81,7.166666666666667,189,D du Preez,56.0,,0
198,,,Left-arm medium,Australia,17-Nov-75,5.14,1.1666666666666667,182,LA Carseldine,6.0,,0
199,,,Right-arm offbreak,South Africa,27-Jun-80,7.13,30.0,158,KP Pietersen,214.0,,0
200,,,Right-arm medium,England,04-May-85,8.48,35.5,161,RS Bopara,301.0,,0
201,,,Slow left-arm orthodox,India,20-Dec-88,7.68,37.0,181,KP Appanna,284.0,,0
202,,,Right-arm offbreak,Australia,29-Dec-74,7.79,39.666666666666664,104,BJ Hodge,309.0,,0
203,,,Slow left-arm orthodox,South Africa,31-Dec-84,6.79,75.83333333333333,177,RE van der Merwe,515.0,,0
204,,,Right-arm fast,West Indies,06-Feb-82,6.4,25.0,165,FH Edwards,160.0,,0
205,,,Left-arm fast-medium,India,17-Jan-83,8.41,37.0,215,YA Abdulla,311.0,,0
206,,,Right-arm medium,India,09-May-83,7.58,35.333333333333336,243,VS Malik,268.0,,0
207,,,Right-arm medium,India,20-Oct-81,7.88,26.0,439,AM Salvi,205.0,,0
208,,,Right-arm medium,New Zealand,06-Aug-84,7.67,40.166666666666664,157,JD Ryder,308.0,,0
209,,,Right-arm fast-medium,South Africa,01-Aug-74,6.83,6.0,159,T Henderson,41.0,,0
210,,,Left-arm medium-fast,India,10-Mar-91,8.41,29.5,160,Kamran Khan,248.0,,0
211,,,Left-arm fast-medium,Sri Lanka,01-Mar-81,6.83,24.0,156,T Thushara,164.0,,0
212,,,Right-arm offbreak,Sri Lanka,11-Mar-85,7.4,41.333333333333336,174,BAW Mendis,306.0,,0
213,,,Right-arm offbreak,India,30-Apr-87,7.88,57.0,57,RG Sharma,449.0,,0
214,,,Right-arm offbreak,Sri Lanka,14-Oct-76,7.96,45.833333333333336,135,TM Dilshan,365.0,,0
215,,,Right-arm medium,India,16-Oct-85,8.04,16.166666666666668,259,RV Gomez,130.0,,0
216,,,Right-arm medium,Australia,20-Oct-91,7.6,54.5,253,MR Marsh,414.0,,0
217,,,Right-arm medium-fast,South Africa,24-Jul-85,7.86,39.166666666666664,233,J Theron,308.0,,0
218,,,Slow left-arm orthodox,Australia,04-Oct-79,8.14,9.333333333333334,230,AC Voges,76.0,,0
219,,,Legbreak,West Indies,09-Mar-81,7.29,18.666666666666668,452,S Badree,136.0,,0
220,,,Right-arm offbreak,India,19-Apr-95,7.73,29.5,394,DJ Hooda,228.0,,0
221,,,Right-arm medium,India,09-Mar-81,7.71,14.0,404,DJ Muthuswami,108.0,,0
222,,,Left-arm fast-medium,New Zealand,22-Jul-89,8.06,34.5,458,TA Boult,278.0,,0
223,,,Legbreak,India,04-Sep-93,8.02,19.333333333333332,388,S Gopal,155.0,,0
224,,,Right-arm fast-medium,Australia,04-Nov-85,6.49,10.166666666666666,457,JW Hastings,66.0,,0
225,,,Legbreak googly,India,08-Sep-90,8.35,29.333333333333332,418,M Ashwin,245.0,,0
226,,,Right-arm medium-fast,New Zealand,11-Mar-87,7.5,2.0,411,C Munro,15.0,,0
227,,,Slow left-arm chinaman,India,14-Dec-94,8.27,12.333333333333334,462,Kuldeep Yadav,102.0,,0
228,,,Left-arm fast-medium,Bangladesh,06-Sep-95,6.81,62.666666666666664,460,Mustafizur Rahman,427.0,,0
